log10(t),log10(S_E)
1.43,-8.81
1.47712125471966,-8.79095322630588
1.77815125038364,-8.62438983969362
1.95424250943932,-8.51450407060262
2.07918124604762,-8.42627160578528
2.17609125905568,-8.3541362936389
2.25527250510331,-8.28358895360614
2.32221929473392,-8.2261907974011
2.38021124171161,-8.17980143553649
2.43136376415899,-8.13629256016954
2.47712125471966,-8.10136730909261
2.51851393987789,-8.06901180926106
2.55630250076729,-8.03229726716021
2.5910646070265,-8.00140792403257
2.6232492903979,-7.97391239313348
2.65321251377534,-7.94826225953781
2.68124123737559,-7.92463725097866
2.70757017609794,-7.9023777672227
2.73239375982297,-7.88153127440345
2.75587485567249,-7.86361249183811
2.77815125038364,-7.84677906712897
2.79934054945358,-7.82971993092944
2.81954393554187,-7.81214561320812
2.83884909073726,-7.79689037600531
2.85733249643127,-7.77995772878164
2.8750612633917,-7.76863753580073
2.89209460269048,-7.7533270909183
2.90848501887865,-7.74254249874356
2.92427928606188,-7.72803804891693
2.93951925261862,-7.71670650765848
2.95424250943932,-7.70602726372671
2.96848294855394,-7.69123996614726
2.98227123303957,-7.68211750508789
2.99563519459755,-7.67070437372985
3.00860017176192,-7.66264660285307
3.02118929906994,-7.65297252330499
3.03342375548695,-7.6397433403546
3.04532297878666,-7.63082065381879
3.05690485133647,-7.6199394728045
3.06818586174616,-7.61282827498999
3.07918124604762,-7.60482608838998
3.0899051114394,-7.59748620277346
3.10037054511756,-7.58576546574938
3.11058971029925,-7.57754952659483
3.12057393120585,-7.57077514208718
3.13033376849501,-7.56102171572615
3.13987908640124,-7.55343283018828
3.14921911265538,-7.54569786224471
3.15836249209525,-7.54092664361006
3.16731733474818,-7.5324905667739
3.17609125905568,-7.52619989332332
3.1846914308176,-7.5178603150015
3.19312459835446,-7.51182854634121
3.20139712432045,-7.50827016443004
3.20951501454263,-7.49937637154823
3.21748394421391,-7.49532097359262
3.22530928172586,-7.48863085041656
3.23299611039215,-7.48209227323082
3.2405492482826,-7.47772041293274
3.24797326636181,-7.47397508735342
3.25527250510331,-7.46843625497221
3.26245108973043,-7.46078743117647
3.26951294421792,-7.45901994285002
3.27646180417324,-7.4504939875362
3.28330122870355,-7.44802235652074
3.29003461136252,-7.44049223790786
3.29666519026153,-7.43751111885783
3.30319605742049,-7.43089139807269
3.3096301674259,-7.42728805728442
3.31597034545692,-7.42156444007289
3.32221929473392,-7.4186849829462
3.32837960343874,-7.41209154203858
3.33445375115093,-7.40960953016501
3.34044411484012,-7.4024678089094
3.34635297445064,-7.40139314126595
3.35218251811136,-7.39599795358346
3.35793484700045,-7.39296913118222
3.36361197989214,-7.38789466431862
3.36921585741014,-7.38467595067001
3.3747483460101,-7.37883998895455
3.38021124171161,-7.37770663946066
3.38560627359831,-7.37413832948446
3.39093510710338,-7.36937286950336
3.39619934709574,-7.36547724772302
3.40140054078154,-7.36261042211355
3.40654018043395,-7.36031381694913
3.41161970596323,-7.35476122526581
3.41664050733828,-7.35059067338523
3.42160392686983,-7.34879589440842
3.42651126136458,-7.34483373946209
3.43136376415899,-7.33972712567744
3.43616264704076,-7.33924765551036
3.44090908206522,-7.33607722843063
3.4456042032736,-7.32984270458706
3.45024910831936,-7.32832083272072
3.45484486000851,-7.32582355304296
3.45939248775923,-7.32120511609049
3.46389298898591,-7.31917316399432
3.46834733041216,-7.31478490319683
3.47275644931721,-7.31448168213384
3.47712125471966,-7.31072647706572
3.4814426285023,-7.30553520109731
3.48572142648158,-7.3049067609243
3.48995847942483,-7.2996133166922
3.49415459401844,-7.29852840858666
3.4983105537896,-7.29339738245015
3.50242711998443,-7.29308861675449
3.50650503240487,-7.28877033563882
3.51054501020661,-7.28522884338289
3.51454775266029,-7.28495831076765
3.51851393987789,-7.28073373868273
3.52244423350632,-7.27811666354418
3.52633927738984,-7.27708405416662
3.53019969820308,-7.27227062615512
3.53402610605613,-7.26963027777137
3.53781909507327,-7.26733783850146
3.54157924394658,-7.26648728672152
3.54530711646582,-7.26434165608961
